id,problem-solving,communication,teamwork,adaptability,self-awareness,essay
11,8,5,7,6,7,"During a summer internship, I had to help my team with a project related to market research. One of my colleagues was responsible for gathering the data, but they missed the deadline. I immediately took the initiative and started collecting the data myself, even though it wasn’t part of my job. We were able to finish the project on time, but it required extra hours from my side.

I was frustrated, but I kept my focus on completing the project. I also discussed the issue with my colleague afterward and suggested they manage their time better in the future. I learned that it’s important to take ownership and help others, but also that balancing my workload is crucial to avoid burnout. Next time, I will set clearer expectations with the team from the start."
12,6,2,3,5,4,"In my last team project, we had problem with one member who did not help. This was very frustrating because other members were busy, and he just did not work. I noticed this early and decide to help, so I took his part to finish on time. I try to ask him many times, but he does not respond. I thought, maybe he is too busy, or maybe he does not understand the task well.

So, I keep doing his task and also did mine. In the end, we finished project late night and gave to teacher. Teacher said it was good but also said we should talk to member soon if problem happens. I felt a little bit bad because I did more work, but project is finished, so it is okay.

Next time, I will try to talk early when someone not doing work. I think it is better to not wait too long. But, I learn that sometimes, you just have to do the work yourself if others don’t help."
13,7,5,6,6,7,"During a group project last year, one of my teammates kept missing meetings. It was stressful because we needed to get the work done. I tried calling and texting them to make sure they knew what they were supposed to do, but it didn't help. After a few attempts, I decided to take their part and finish it myself. The rest of the team worked with me, and we completed the project on time. Even though I was frustrated, we managed to finish everything. Next time, I’ll be sure to talk to them earlier and set clear expectations from the beginning."
14,5,3,4,4,5,"We had a group project where each person had to analyze a different market. One of my teammates didn’t do their work, and the rest of us had to divide their task. It made everything harder, but I just kept working and did more of the work myself. It was annoying, but I didn’t want to be the one who complained. I don’t know why they didn’t do it, but I just kept focused and helped finish everything in time. I think if I had told the team member earlier, it would have helped."
15,8,7,8,8,8,"In a group project, we faced a problem when one member wasn’t giving updates on their part. We were getting behind, and I knew we had to do something fast. I asked them directly if they were having trouble and if they needed help. After talking, I realized they were confused about the task. I explained it again and reassigned some simpler parts. The project got done on time, and the team was happy. I felt proud that I addressed the issue and helped my teammate understand the work better. Next time, I would make sure to check in with everyone earlier, so we don’t fall behind."
16,6,5,6,6,7,"In a recent team project, one of my teammates was not pulling their weight. They kept missing deadlines, which caused delays for the rest of us. I noticed this early and decided to step in and take over some of their work, so we wouldn’t fall behind. Afterward, I spoke to the teammate about the issue, and it turned out they were struggling with understanding the task. I tried to help them get up to speed, and eventually, we finished the project. It was frustrating, but we got it done on time. I learned that communication is key, and I should have addressed the issue sooner instead of just doing the work myself."
17,4,3,4,3,5,"In a group project, one member didn’t finish their task, and it caused a delay for everyone else. I just kept doing my work and hoped they would catch up. Eventually, the project was due, and we didn’t have enough time to fix everything. We had to submit it late, and it didn’t turn out as well as it could have. I think the problem was that I didn’t speak up or try to help earlier. Next time, I’ll make sure I communicate better with everyone, so we don’t run into the same problem."
18,7,8,8,7,7,"During a group project, one of our teammates wasn’t completing their part of the work. At first, I was unsure what to do, so I waited for them to finish. After a few days, I decided to ask them if they needed any help. It turned out they were stuck on something, so I worked with them to get it done. In the end, we completed the project on time, and it went well. I was happy I addressed the issue when I did, and I learned that it’s always better to check in with teammates early on."
19,7,8,8,7,8,"In a group project last semester, one of our teammates didn’t show up to meetings and didn’t complete their assigned tasks. The rest of the team had to pick up the slack, and it caused some tension. I felt frustrated because I didn’t want to do their work. However, I decided to take a direct approach and asked them if they needed help. It turned out they were overwhelmed with personal issues and weren’t able to complete the tasks. I worked with them to divide the work differently so that they could finish their part. The project was completed on time and turned out well. This experience taught me that it’s important to communicate openly and not assume the worst about others."
20,5,4,4,5,6,"During a group project, we had a situation where one person didn’t do their work. I didn’t want to confront them, so I ended up doing it for them. It was frustrating, but I thought it was the easiest option to avoid conflict. We managed to finish the project on time, but it didn’t feel great. Next time, I think I should speak up sooner rather than just doing everything myself. I learned that being passive doesn’t help in the long run."
21,8,8,8,8,7,"We had a project where one team member wasn’t contributing, and the rest of us had to compensate for their lack of effort. Initially, I felt frustrated but realized that the project wouldn’t be successful if we didn’t address it. I decided to approach the teammate and asked if everything was okay. It turned out that they didn’t understand the task and were too embarrassed to ask for help. I gave them some extra time and worked with them to make sure they could complete their portion. We finished the project on time, and I felt good that I helped my teammate get back on track. In the future, I will be more proactive in checking in with teammates earlier."
22,7,8,7,7,7,"I was working in a team, and one of the members wasn’t doing their part of the work. It started causing some delays for the rest of us. At first, I was annoyed, but then I decided to talk to them. They explained they were having trouble understanding the task, so I took a moment to explain it more clearly. After that, they managed to complete their work. The project was completed on time, and I learned that communication is really important when working with a team."
23,4,3,4,4,5,"One time, during a group project, one member kept missing deadlines. I was frustrated but didn’t want to make things worse, so I just kept doing my part and didn’t address it. Eventually, the project didn’t turn out as well as we hoped. I now realize I should have communicated better and been more proactive. In the future, I’ll make sure to speak up sooner when there’s an issue."
24,7,7,7,7,7,"In a group project, a team member wasn’t able to contribute much because they didn’t understand the task. I initially didn’t notice this, but once I did, I decided to step in and help them understand it. It was a bit time-consuming, but it worked, and they eventually completed their part. The project was completed on time. I learned that it's important to check in with everyone to make sure they’re on track."
25,4,3,4,4,5,"In a recent project, we had one team member who wasn’t completing their part of the work. I didn’t want to confront them, so I just finished their task myself. Although the project was completed, I didn’t feel great about how it went. Next time, I will make sure to talk to the person earlier and avoid doing their work. I realize that I shouldn’t just keep quiet when there’s an issue."
26,8,9,8,8,8,"During a group assignment, one team member wasn’t contributing, and this was noticed by everyone. Instead of letting the frustration build up, I decided to have a calm conversation with them. I found out that they were struggling with time management and didn’t know how to ask for help. We divided the work again to better fit everyone’s schedule, and the project was completed successfully. It was a valuable lesson in handling conflict calmly and understanding people’s issues."
27,4,4,4,5,5,"Once, in a group project, one of the team members wasn’t pulling their weight, and the others were getting frustrated. Instead of confronting the issue, I just continued with my part and let the team figure it out. In the end, the project was rushed, and the quality wasn’t great. I learned that it’s better to address problems directly early on and talk openly with the team about what’s going wrong. Next time, I’ll speak up sooner."
28,8,9,8,8,8,"During a project, a teammate was repeatedly not meeting deadlines, which started to hold up the entire team. Instead of letting the frustration build, I approached them and asked if there was something causing the delay. It turned out they had personal issues affecting their work, and we were able to redistribute some tasks to help them. This experience taught me the importance of empathy in a team setting and that open communication helps resolve issues quickly."
29,5,3,5,5,6,"In one group project, a team member was not contributing, and it was starting to cause delays. I was too shy to confront them directly, so I just did extra work myself to compensate. While the project was finished on time, I didn’t feel great about how things turned out. Next time, I will try to communicate better with my team and speak up earlier if there’s an issue. I also learned that it’s important to balance my workload and not overextend myself."
30,4,3,4,4,5,"During a group project, one of our team members wasn’t completing their tasks, and it was causing delays for everyone. I didn’t want to confront them right away because I wasn’t sure how to handle it. Instead, I kept doing my part and tried to work around them. Eventually, the project was finished, but we missed some key points. I think I could have communicated better and been more proactive in addressing the issue early on."
31,9,9,9,9,9,"In a recent team project, we faced a situation where one member was struggling to meet deadlines due to personal challenges. Recognizing that it wasn’t a matter of poor performance but external circumstances, I approached them privately and asked if they needed support. After understanding the situation, we reallocated tasks and provided them with additional resources. I also checked in regularly to ensure they felt supported. The outcome was that the project was completed successfully, and the team felt more united and empathetic toward each other. From this experience, I learned the importance of open communication and empathy, especially in managing diverse team dynamics. In the future, I will prioritize addressing issues earlier and fostering a supportive environment to ensure everyone’s success."
32,9,9,9,9,9,"In a group presentation at university, one of my team members became ill just days before the presentation, leaving a significant gap in our preparation. I immediately took responsibility for reworking the presentation and dividing the remaining tasks evenly among the team members. I coordinated regular check-ins to ensure everyone was on track. Additionally, I took the time to help our sick teammate catch up when they were feeling better. We ended up delivering a well-received presentation, and the experience taught me the importance of planning for unexpected situations and clear communication within a team. Moving forward, I will be even more proactive in preparing contingency plans for team projects."
33,8,8,8,8,8,"In a recent team project, one of my teammates wasn’t contributing as much as they should have, and the workload was becoming too much for the rest of us. Instead of letting the frustration build, I decided to have an open conversation with them. It turned out they were struggling with the task and didn’t want to admit it. After discussing the problem, we agreed to redistribute the work, and the project progressed much better. In the end, we delivered the project on time, and I learned that addressing issues early on can prevent bigger problems later. Moving forward, I plan to ensure open lines of communication to address any potential issues sooner."
34,9,8,8,8,9,"During a group project, one of our team members was frequently unavailable due to personal issues. Instead of letting this affect the progress of the project, I decided to step in and take on some of their tasks. I also suggested regular check-ins to ensure everyone was on track. This helped keep the project moving forward, and we were able to submit it on time. I learned that being proactive and flexible in team dynamics is essential for ensuring success. In the future, I will focus on addressing challenges as soon as they arise and involving the team early on in finding solutions."
35,9,8,8,9,9,"In a recent team project, we encountered several challenges with our data analysis. One of the team members was not able to contribute fully due to unforeseen personal issues. I recognized the potential impact on the project’s timeline and suggested that we reorganize our tasks to accommodate the situation. By redistributing the workload and adjusting the deadlines slightly, we were able to finish the project on time. This experience showed me how important it is to stay flexible and manage unforeseen situations proactively. Moving forward, I will make sure to have contingency plans in place for any unexpected challenges."
36,7,6,7,8,7,"I once worked on a project where our team faced a significant setback due to missing key data. We were behind schedule, and the project seemed doomed. Instead of letting panic set in, I suggested we look for alternative data sources and work overtime if needed. We managed to gather the data, and although we were still late, we were able to deliver a functional solution. This experience taught me that when setbacks occur, the key is to remain calm and look for creative solutions. In the future, I will ensure I have contingency plans in place to avoid such issues."
37,8,6,7,7,8,"During a recent university group project, one of our team members was not contributing as much as expected, leading to a delay in the project’s progress. I took it upon myself to speak to them privately, where I learned they were struggling with understanding some of the research concepts. I patiently explained the material and guided them through the relevant resources. As a result, they were able to contribute significantly to the project, and we completed the assignment on time. This experience taught me the importance of addressing issues promptly and offering help when necessary."
38,6,8,7,7,8,"In a team assignment, I was given the responsibility of presenting the final report, but due to some miscommunication, I didn’t realize that some key data points were missing. After submitting the report, I quickly realized the oversight. I immediately took responsibility and contacted the professor to explain the situation and submit the correct data. I also took extra time to review the report thoroughly and ensure all the necessary information was included in future assignments. I learned the importance of double-checking work and making sure every team member’s contribution is considered before submission."
39,4,3,4,4,5,"I was working with a team on a project, and one member was not contributing at all. Instead of talking to them, I did all the work myself and submitted it. The project was completed on time, but I didn’t really discuss it with the team member. I figured it was easier that way. In the future, I guess I’ll try to talk to the person instead of doing everything myself, but I’m not sure how to handle it better."
40,3,4,3,4,5,"In a group project, we were supposed to meet regularly, but I didn’t go to a few meetings because I had other things to do. I didn’t really tell anyone why I missed the meetings. When we finished, the project wasn’t great, but we handed it in anyway. I’m not sure if I should have gone to the meetings or communicated more, but it was too late by the time I realized."
